Skill,Type,Match Score (0-100),Notes
Playwright,Hard,90,"Built from scratch at Medtelligent and City Innovate; directly matches posting requirement"
Vitest,Hard,70,"Listed in confirmed skills; less prominent in resume but claimable"
Python,Hard,5,"Primary automation language is TypeScript/JS; cannot credibly claim Python proficiency"
TypeScript,Hard,90,"Primary automation language; strong evidence across multiple roles"
JavaScript,Hard,85,"Confirmed; used alongside TypeScript"
CI/CD pipeline integration,Hard,85,"GitHub Actions / Jenkins / Azure DevOps with merge gates at Medtelligent"
AI/LLM evaluation frameworks,Hard,75,"LLM-as-Judge and probabilistic QC at Medtelligent; real but ~5% of work"
Prompt regression testing,Hard,55,"Implied by LLM eval work; not explicitly named in resume or CV"
Model drift detection,Hard,40,"Adjacent to probabilistic QC framing; not directly claimed"
Non-deterministic output scoring,Hard,70,"Probabilistic QC frameworks at Medtelligent cover this conceptually"
REST API testing,Hard,90,"Confirmed across multiple roles; Postman, direct API testing"
GraphQL testing,Hard,70,"Listed in confirmed skills"
SOAP testing,Hard,65,"Listed in confirmed skills"
SQL / data querying,Hard,80,"MS SQL confirmed; used at Relativity and Castle Rock for data integrity"
ETL validation,Hard,75,"Explicit in Castle Rock role; data contract validation work"
Data contract testing,Hard,75,"Explicitly named in resume skills and Castle Rock work"
Performance benchmarking,Hard,70,"Confirmed at Relativity for async ML model builds — scoped, not load testing"
Async / streaming response testing,Hard,35,"Not directly claimed; adjacent to API testing experience"
Multi-service / API chain testing,Hard,60,"Implied by end-to-end and integration work; not explicitly named"
Knowledge graph testing (Memgraph/Neo4j),Hard,10,"No graph DB testing experience claimed"
Vector DB testing (Qdrant),Hard,5,"No vector DB experience"
PostgreSQL,Hard,15,"Not a confirmed skill; only MS SQL and SQLite confirmed"
File ingestion pipeline testing,Hard,50,"Castle Rock data format validation is adjacent; not exact match"
Multi-model routing / LiteLLM testing,Hard,15,"No direct experience; conceptually adjacent to LLM eval work"
Agent orchestration testing,Hard,20,"LLM chat interface testing at Medtelligent is narrower than multi-agent orchestration"
GitHub Actions,Hard,85,"Confirmed CI/CD tool"
Docker,Hard,10,"Not a confirmed skill; listed in Do Not Claim"
Google Cloud Platform,Hard,20,"AWS and Azure confirmed at working familiarity; GCP not claimed"
Azure,Hard,50,"Working familiarity confirmed; not admin-level"
Jira,Hard,90,"Deep usage including automation and integrations at Medtelligent"
Confluence,Hard,85,"Confirmed tool"
Test case management tools,Hard,80,"TestRail, Qase, Xray all confirmed"
Splunk,Hard,55,"Light/foundation level at Relativity; framed accordingly"
New Relic,Hard,55,"Light/foundation level at Relativity; framed accordingly"
LangSmith / PromptFlow,Hard,10,"Not claimed; listed as nice-to-have in posting"
Page Object Model (POM),Hard,90,"Explicitly built and enforced at Medtelligent"
ATDD / Acceptance Test-Driven Development,Hard,80,"Trained teams in ATDD at City Innovate"
Shift-left QA,Hard,85,"Embedded in requirements refinement at Medtelligent; confirmed practice"
Risk-based testing,Hard,80,"Confirmed methodology; used across roles"
Exploratory testing,Hard,85,"Confirmed; part of QA methodology"
Regression testing strategy,Hard,90,"Core skill; structured regression org at Aspire and Medtelligent"
Gray-box / white-box testing,Hard,70,"White-box code reviews at Castle Rock; gray-box PR review confirmed"
Root-cause analysis,Hard,90,"Systematic RCA at City Innovate (Cypress) and across roles"
Defect escape analysis,Hard,80,"Confirmed methodology; part of metrics framework"
Quality gate design,Hard,85,"CI/CD merge gates at Medtelligent"
OKR / KPI development,Hard,80,"Bottom-up OKR approach implemented at Medtelligent"
Executive reporting,Hard,80,"Defect dashboards at Medtelligent; Tier-3 reporting at Blackboard"
QA function founding / building from scratch,Soft,85,"Medtelligent and Castle Rock both support this; strong evidence"
Team building and hiring,Soft,70,"Manages 4 FTEs + 2 contractors; less direct hiring/recruiting evidence"
Mentoring junior/mid engineers,Soft,90,"Explicit career path development and automation upskilling at Medtelligent"
Quality culture ownership,Soft,85,"Agile coaching; QA embedded in engineering process at multiple roles"
Independent ownership / low supervision,Soft,90,"City Innovate framing; full release ownership"
Working in early-stage environments,Soft,85,"City Innovate (~40 employees); Medtelligent (~60-80); Castle Rock (seed-stage)"
Advocating for non-technical end users,Soft,65,"Implied by escalation system and client-facing tooling; not explicit in resume"
Cross-functional collaboration,Soft,80,"Aspire and Relativity as primary examples; requirements refinement"
Stakeholder communication,Soft,80,"Executive reporting; client escalation workflows"
Regulated industry experience,Soft,80,"HIPAA-adjacent (Medtelligent); DOL/ERISA (Castle Rock); FedRAMP-adjacent (Relativity)"
Audit trail integrity mindset,Soft,75,"Regulated industry experience implies this; not explicitly named"
Documentation and standards-setting,Soft,90,"Coding standards; test coverage taxonomy; change control at multiple roles"
Agile coaching,Soft,85,"Explicit; waterfall-to-agile transformation at Medtelligent"
Strategic quality planning,Soft,85,"OKR/KPI ownership; KPI dashboards; release readiness frameworks"
